track_id,track_name,artist_id,artist_name,album_id,album_name,release_date
5wUUWVRvrciJqFitZF8R0P,Recognize (feat. Drake),2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,6s2isojT7rGZUgJyymjjKU,PARTYNEXTDOOR TWO,2014-07-29
21H0pUV2uPIPcFnFhgTBjo,Woke Up in Love,23fqKkggKUBHNkbKtXEls4,Kygo,06q3cqjSYhkePDu6RW6Uoy,Woke Up in Love,2022-09-09
6tgEc2O1uFHcZDKPoo6PC8,ALREADY,6vWDO969PvNqNYHIOW5v0m,Beyoncé,552zi1M53PQAX5OH4FIdTx,The Lion King: The Gift,2019-07-19
6jOlXsLRISuYYTS1n0Ukfj,Crazy What Love Can Do,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,79edhnFwe5f1aNDqyP7gcj,Silvester Party TikTok Hits 2023,2022-12-02
57LCM5uPQd73io05ucFRaT,I Don't Care,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,6zXmGM2NhYOnLbtvByRRRq,Pop Deluxe,2022-12-02
2lTkTb68hFcTlfdBVzGLek,What The Hell Happened To Us,3ApUX1o6oSz321MMECyIYd,Quinn XCII,30v79AzKU1U5Rc7pwmzbkk,The Story of Us (Deluxe),2018-02-16
5W8HXMOMLtXLz0RGKUtnlZ,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage",4utLUGcTvOJFr6aqIJtYWV,Skylar Grey,2ZaFqYD9a3U6qJhyS2LDRf,"Last One Standing (feat. Polo G, Mozzy & Eminem) [From Venom: Let There Be Carnage]",2021-09-30
71bRmMAJpXBe67BTM9S6H7,Feliz Cumpleaños Ferxxo,2LRoIwlKmHjgvigdNGBHNo,Feid,5MzG1xatQfY7MOpvzeoqFc,De Cumpleaños en Felicilandia,2022-12-02
3SeYbCpju4VPGAtFGJtUzF,Everglow,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,7qpKIA5x6guzdggZA9RJDf,Cozy Morning,2022-12-02
1dGF5ymTyBB2ZmOypkeU1F,veil,5dWE3G7COO82G6vRy2Hpum,須田景凪,2vV8klrByPkSnocfIlaOMI,porte,2019-08-21
6YJdPrH3i2POzu7hdHIRrb,Santa Baby,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,5MfeQZrrNfMqcaq03U9qOr,Christmas Kisses,2013-01-01
1pnXMEGyw85jtg9fFZf4GP,Fleeting Lullaby,6mEQK9m2krja6X1cfsAjfl,Ado,7Ixqxq13tWhrbnIabk3172,UTA'S SONGS ONE PIECE FILM RED,2022-08-10
0dLnd9LNGBNFqZiCBtRjTF,Ho Ho Ho,5WUlDfRSoLAfcVSX1WnrxN,Sia,7mun9r8Ozrh55Tj7tne4Y3,All I Want for Christmas Hits 2022,2022-12-02
7IXrZAlmH3d5IrR61uTea2,Pump It Louder,2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,2cUgNsmyo9XaZqwWnuC15H,Nouveautés Pop,2022-11-25
1Fvw8CArOahdQIzKi3NjMI,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",04gDigrS5kc9YWfZHwBETP,Maroon 5,4gw5cEdOIS8frNaTx8FlaU,Silvester 2022,2022-12-02
4jQDJPgw3qkc1T2f1safdy,7 years,25uiPmTg16RbhZWAqwLBy5,Charli XCX,3a9qH2VEsSiOZvMrjaS0Nu,how i'm feeling now,2020-05-15
3vu8NXAryXrNG8ICj71Buq,Freak The Freak Out (feat. Victoria Justice),1KYszkVzlhV3rAqmAcYIgd,Victorious Cast,1VM5qKftnTKFU9rthvEgYx,Victorious: Music From The Hit TV Show (feat. Victoria Justice),2011-08-01
3rmo8F54jFF8OgYsqTxm5d,Bad Habits,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,32iAEBstCjauDhyKpGjTuq,=,2021-10-29
7qCzenL7S1onPt6QdRsDsd,Into The Dark (feat. Kellin Quinn),5Vp7LqcfAtx2U1RfIX8i7r,Point North,33c3LDySpfYMOEwfu1eUU1,Brand New Vision,2020-08-21
0lLdorYw7lVrJydTINhWdI,It's Beginning to Look a Lot like Christmas,1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,3CKVXhODttZebJAzjUs2un,Christmas,2011-10-14
